test_hub,algo,round,rmse_ret,mae_ret,rmse_price_implied,baseline_rmse_ret,baseline_mae_ret,baseline_rmse_price,baseline_mae_price,seed
FIN,fedavg,90,0.11340610682964325,0.060311928391456604,7.208487467990586,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,0
FIN,fedavg,91,0.1144011840224266,0.06064865365624428,7.261710158759077,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,1
FIN,fedavg,13,0.11200480908155441,0.06151796504855156,7.112298824355341,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,2
FIN,fedavg,95,0.11336461454629898,0.06049332767724991,7.2028107766003195,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,3
FIN,fedavg,6,0.10841574519872665,0.05971163138747215,6.864337932201839,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,4
LTU,fedavg,91,0.02830672077834606,0.02306193672120571,1.3125762068095965,0.029620859293290867,0.022854321428262596,1.373016946174649,1.0382241379310346,0
LTU,fedavg,100,0.02740546688437462,0.021857082843780518,1.2520844101167796,0.029620859293290867,0.022854321428262596,1.373016946174649,1.0382241379310346,1
LTU,fedavg,37,0.026415321975946426,0.021235885098576546,1.2073855646019893,0.029620859293290867,0.022854321428262596,1.373016946174649,1.0382241379310346,2
LTU,fedavg,37,0.02675892598927021,0.0218511950224638,1.2211848524877453,0.029620859293290867,0.022854321428262596,1.373016946174649,1.0382241379310346,3
LTU,fedavg,81,0.026837728917598724,0.021589022129774094,1.21777162865663,0.029620859293290867,0.022854321428262596,1.373016946174649,1.0382241379310346,4
LVA-EST,fedavg,10,0.024963418021798134,0.019628047943115234,1.1512807067724944,0.028252420844315417,0.02192374882265033,1.3316002946934136,1.011,0
LVA-EST,fedavg,78,0.026656847447156906,0.022010311484336853,1.2327383049663179,0.028252420844315417,0.02192374882265033,1.3316002946934136,1.011,1
LVA-EST,fedavg,100,0.028401121497154236,0.022336093708872795,1.3156928732971451,0.028252420844315417,0.02192374882265033,1.3316002946934136,1.011,2
LVA-EST,fedavg,51,0.027217401191592216,0.021477526053786278,1.2726985487989249,0.028252420844315417,0.02192374882265033,1.3316002946934136,1.011,3
LVA-EST,fedavg,64,0.025639671832323074,0.02010091207921505,1.1871783086152725,0.028252420844315417,0.02192374882265033,1.3316002946934136,1.011,4
TTF,fedavg,75,0.03692768141627312,0.028756968677043915,1.273402574568953,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,0
TTF,fedavg,63,0.03744429349899292,0.02918640524148941,1.2773748303841697,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,1
TTF,fedavg,42,0.03802987188100815,0.0299936905503273,1.3060705696459363,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,2
TTF,fedavg,97,0.038060616701841354,0.028802799060940742,1.3074273339630638,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,3
TTF,fedavg,57,0.038306135684251785,0.0301468838006258,1.3297378570566365,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,4
FIN,fedprox,11,0.11367377638816833,0.06135168671607971,7.188104860845253,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,0
FIN,fedprox,66,0.11301294714212418,0.059297047555446625,7.19237642218821,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,1
FIN,fedprox,24,0.11241062730550766,0.06008628383278847,7.1496586294087985,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,2
FIN,fedprox,28,0.11315585672855377,0.06132892891764641,7.176684241092902,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,3
FIN,fedprox,98,0.11436118185520172,0.06100592762231827,7.268358635212606,0.11428779548152551,0.06315286692840304,7.220124678931129,3.573620689655172,4
LTU,fedprox,72,0.027019185945391655,0.021724244579672813,1.2386565307344164,0.029620859293290867,0.022854321428262596,1.373016946174649,1.0382241379310346,0
LTU,fedprox,38,0.0273075420409441,0.022257979959249496,1.2469314005670575,0.029620859293290867,0.022854321428262596,1.373016946174649,1.0382241379310346,1
LTU,fedprox,97,0.027814732864499092,0.02293986827135086,1.275214884636559,0.029620859293290867,0.022854321428262596,1.373016946174649,1.0382241379310346,2
LTU,fedprox,31,0.02729647606611252,0.021745484322309494,1.2466956765418893,0.029620859293290867,0.022854321428262596,1.373016946174649,1.0382241379310346,3
LTU,fedprox,53,0.02806571125984192,0.02341298758983612,1.296344689618943,0.029620859293290867,0.022854321428262596,1.373016946174649,1.0382241379310346,4
LVA-EST,fedprox,65,0.027297062799334526,0.021737629547715187,1.2808171967498578,0.028252420844315417,0.02192374882265033,1.3316002946934136,1.011,0
LVA-EST,fedprox,100,0.02617875672876835,0.02086160145699978,1.2069337041718857,0.028252420844315417,0.02192374882265033,1.3316002946934136,1.011,1
LVA-EST,fedprox,17,0.02609887532889843,0.02031104639172554,1.2140000232617458,0.028252420844315417,0.02192374882265033,1.3316002946934136,1.011,2
LVA-EST,fedprox,100,0.0264692734926939,0.021104320883750916,1.2219208849354117,0.028252420844315417,0.02192374882265033,1.3316002946934136,1.011,3
LVA-EST,fedprox,40,0.026353467255830765,0.020737910643219948,1.2142066978318136,0.028252420844315417,0.02192374882265033,1.3316002946934136,1.011,4
TTF,fedprox,17,0.038045547902584076,0.029644779860973358,1.3096149148212717,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,0
TTF,fedprox,43,0.03796042129397392,0.028409786522388458,1.2903830762800492,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,1
TTF,fedprox,6,0.036864425987005234,0.029519451782107353,1.2938033907616775,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,2
TTF,fedprox,24,0.03456855192780495,0.026972530409693718,1.2084013580785502,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,3
TTF,fedprox,18,0.038241948932409286,0.029810259118676186,1.314518423385647,0.03199440164571892,0.024185610336796105,1.0977720040524601,0.8142881355932202,4
